"Date Time, GMT+00:00","Temp, °C","RH, %","DewPt, °C","Coupler Detached","Coupler Attached","Host Connected","End Of File"
22/01/2018 12:00:00   ,12.389    ,51.642 ,3.005      ,Logged            ,                  ,                ,
22/01/2018 12:10:00   ,12.461    ,54.174 ,3.732      ,                  ,                  ,                ,
22/01/2018 12:20:00   ,12.461    ,53.356 ,3.523      ,                  ,                  ,                ,
22/01/2018 12:30:00   ,12.195    ,52.741 ,3.115      ,                  ,                  ,                ,
22/01/2018 12:40:00   ,12.147    ,51.578 ,2.763      ,                  ,                  ,                ,
22/01/2018 12:50:00   ,12.340    ,52.580 ,3.208      ,                  ,                  ,                ,
22/01/2018 13:00:00   ,12.437    ,50.610 ,2.772      ,                  ,                  ,                ,
22/01/2018 13:10:00   ,12.485    ,48.188 ,2.140      ,                  ,                  ,                ,
22/01/2018 13:20:00   ,12.558    ,49.645 ,2.618      ,                  ,                  ,                ,
22/01/2018 13:30:00   ,12.364    ,47.400 ,1.802      ,                  ,                  ,                ,
22/01/2018 13:40:00   ,12.509    ,47.078 ,1.841      ,                  ,                  ,                ,
22/01/2018 13:50:00   ,12.437    ,47.749 ,1.969      ,                  ,                  ,                ,
22/01/2018 14:00:00   ,12.195    ,46.604 ,1.413      ,                  ,                  ,                ,
22/01/2018 14:10:00   ,12.001    ,46.455 ,1.192      ,                  ,                  ,                ,
22/01/2018 14:20:00   ,12.025    ,45.309 ,0.871      ,                  ,                  ,                ,
22/01/2018 14:30:00   ,12.050    ,45.809 ,1.044      ,                  ,                  ,                ,
22/01/2018 14:40:00   ,11.856    ,48.260 ,1.581      ,                  ,                  ,                ,
22/01/2018 14:50:00   ,11.759    ,47.538 ,1.285      ,                  ,                  ,                ,
22/01/2018 15:00:00   ,11.589    ,46.558 ,0.844      ,                  ,                  ,                ,
22/01/2018 15:10:00   ,11.321    ,48.681 ,1.208      ,                  ,                  ,                ,
22/01/2018 15:20:00   ,11.151    ,50.403 ,1.525      ,                  ,                  ,                ,
22/01/2018 15:30:00   ,11.053    ,52.063 ,1.877      ,                  ,                  ,                ,
22/01/2018 15:40:00   ,10.834    ,49.382 ,0.953      ,                  ,                  ,                ,
22/01/2018 15:50:00   ,10.712    ,51.832 ,1.499      ,                  ,                  ,                ,
22/01/2018 16:00:00   ,10.638    ,51.761 ,1.412      ,                  ,                  ,                ,
22/01/2018 16:10:00   ,10.173    ,55.008 ,1.803      ,                  ,                  ,                ,
22/01/2018 16:20:00   ,9.879     ,56.961 ,1.999      ,                  ,                  ,                ,
22/01/2018 16:30:00   ,9.583     ,57.893 ,1.939      ,                  ,                  ,                ,
22/01/2018 16:40:00   ,9.312     ,60.321 ,2.235      ,                  ,                  ,                ,
22/01/2018 16:50:00   ,9.040     ,60.129 ,1.936      ,                  ,                  ,                ,
22/01/2018 17:00:00   ,8.990     ,59.594 ,1.769      ,                  ,                  ,                ,
22/01/2018 17:10:00   ,9.114     ,58.409 ,1.617      ,                  ,                  ,                ,
22/01/2018 17:20:00   ,8.965     ,60.497 ,1.947      ,                  ,                  ,                ,
22/01/2018 17:30:00   ,8.891     ,60.631 ,1.906      ,                  ,                  ,                ,
22/01/2018 17:40:00   ,8.965     ,59.971 ,1.830      ,                  ,                  ,                ,
22/01/2018 17:50:00   ,8.717     ,61.506 ,1.933      ,                  ,                  ,                ,
22/01/2018 18:00:00   ,8.593     ,62.993 ,2.133      ,                  ,                  ,                ,
22/01/2018 18:10:00   ,8.643     ,62.249 ,2.022      ,                  ,                  ,                ,
22/01/2018 18:20:00   ,8.668     ,61.875 ,1.966      ,                  ,                  ,                ,
22/01/2018 18:30:00   ,8.419     ,63.194 ,2.010      ,                  ,                  ,                ,
22/01/2018 18:40:00   ,8.195     ,64.307 ,2.028      ,                  ,                  ,                ,
22/01/2018 18:50:00   ,8.045     ,65.427 ,2.114      ,                  ,                  ,                ,
