"Date Time, GMT+00:00","Temp, °C","RH, %","DewPt, °C","Coupler Detached","Coupler Attached","Host Connected","Stopped","End Of File"
22/01/2018 12:00:00   ,12.122    ,54.969 ,3.617      ,Logged            ,                  ,                ,         ,
22/01/2018 12:10:00   ,12.195    ,57.559 ,4.318      ,                  ,                  ,                ,         ,
22/01/2018 12:20:00   ,12.171    ,56.898 ,4.136      ,                  ,                  ,                ,         ,
22/01/2018 12:30:00   ,11.880    ,56.374 ,3.736      ,                  ,                  ,                ,         ,
22/01/2018 12:40:00   ,11.832    ,54.655 ,3.266      ,                  ,                  ,                ,         ,
22/01/2018 12:50:00   ,12.074    ,55.624 ,3.734      ,                  ,                  ,                ,         ,
22/01/2018 13:00:00   ,12.171    ,53.466 ,3.280      ,                  ,                  ,                ,         ,
22/01/2018 13:10:00   ,12.268    ,50.770 ,2.658      ,                  ,                  ,                ,         ,
22/01/2018 13:20:00   ,12.389    ,52.191 ,3.151      ,                  ,                  ,                ,         ,
22/01/2018 13:30:00   ,12.195    ,49.842 ,2.337      ,                  ,                  ,                ,         ,
22/01/2018 13:40:00   ,12.364    ,49.250 ,2.329      ,                  ,                  ,                ,         ,
22/01/2018 13:50:00   ,12.340    ,49.800 ,2.460      ,                  ,                  ,                ,         ,
22/01/2018 14:00:00   ,12.122    ,48.634 ,1.933      ,                  ,                  ,                ,         ,
22/01/2018 14:10:00   ,11.953    ,48.457 ,1.727      ,                  ,                  ,                ,         ,
22/01/2018 14:20:00   ,12.001    ,47.074 ,1.374      ,                  ,                  ,                ,         ,
22/01/2018 14:30:00   ,12.025    ,47.510 ,1.522      ,                  ,                  ,                ,         ,
22/01/2018 14:40:00   ,11.832    ,49.762 ,1.979      ,                  ,                  ,                ,         ,
22/01/2018 14:50:00   ,11.734    ,49.166 ,1.725      ,                  ,                  ,                ,         ,
22/01/2018 15:00:00   ,11.540    ,48.341 ,1.314      ,                  ,                  ,                ,         ,
22/01/2018 15:10:00   ,11.248    ,50.813 ,1.726      ,                  ,                  ,                ,         ,
22/01/2018 15:20:00   ,11.029    ,52.453 ,1.956      ,                  ,                  ,                ,         ,
22/01/2018 15:30:00   ,10.883    ,54.454 ,2.329      ,                  ,                  ,                ,         ,
22/01/2018 15:40:00   ,10.687    ,51.435 ,1.371      ,                  ,                  ,                ,         ,
22/01/2018 15:50:00   ,10.590    ,53.929 ,1.924      ,                  ,                  ,                ,         ,
22/01/2018 16:00:00   ,10.565    ,53.685 ,1.839      ,                  ,                  ,                ,         ,
22/01/2018 16:10:00   ,10.149    ,56.586 ,2.163      ,                  ,                  ,                ,         ,
22/01/2018 16:20:00   ,9.903     ,58.505 ,2.383      ,                  ,                  ,                ,         ,
22/01/2018 16:30:00   ,9.583     ,59.426 ,2.291      ,                  ,                  ,                ,         ,
22/01/2018 16:40:00   ,9.312     ,61.810 ,2.562      ,                  ,                  ,                ,         ,
22/01/2018 16:50:00   ,9.015     ,61.585 ,2.232      ,                  ,                  ,                ,         ,
22/01/2018 17:00:00   ,9.040     ,60.831 ,2.091      ,                  ,                  ,                ,         ,
22/01/2018 17:10:00   ,9.114     ,59.761 ,1.923      ,                  ,                  ,                ,         ,
22/01/2018 17:20:00   ,9.015     ,61.876 ,2.295      ,                  ,                  ,                ,         ,
22/01/2018 17:30:00   ,8.965     ,61.606 ,2.190      ,                  ,                  ,                ,         ,
22/01/2018 17:40:00   ,9.040     ,61.210 ,2.174      ,                  ,                  ,                ,         ,
22/01/2018 17:50:00   ,8.742     ,62.903 ,2.256      ,                  ,                  ,                ,         ,
22/01/2018 18:00:00   ,8.643     ,64.300 ,2.454      ,                  ,                  ,                ,         ,
22/01/2018 18:10:00   ,8.717     ,63.390 ,2.335      ,                  ,                  ,                ,         ,
22/01/2018 18:20:00   ,8.767     ,63.023 ,2.305      ,                  ,                  ,                ,         ,
22/01/2018 18:30:00   ,8.469     ,64.671 ,2.365      ,                  ,                  ,                ,         ,
22/01/2018 18:40:00   ,8.220     ,65.744 ,2.345      ,                  ,                  ,                ,         ,
22/01/2018 18:50:00   ,8.070     ,66.857 ,2.424      ,                  ,                  ,                ,         ,
22/01/2018 19:00:00   ,7.870     ,67.870 ,2.431      ,                  ,                  ,                ,         ,
22/01/2018 19:10:00   ,7.845     ,65.848 ,2.007      ,                  ,                  ,                ,         ,
22/01/2018 19:20:00   ,7.695     ,66.845 ,2.062      ,                  ,                  ,                ,         ,
22/01/2018 19:30:00   ,7.820     ,64.585 ,1.728      ,                  ,                  ,                ,         ,
22/01/2018 19:40:00   ,7.444     ,68.073 ,2.061      ,                  ,                  ,                ,         ,
22/01/2018 19:50:00   ,7.419     ,67.616 ,1.948      ,                  ,                  ,                ,         ,
22/01/2018 20:00:00   ,7.066     ,70.108 ,2.083      ,                  ,                  ,                ,         ,
22/01/2018 20:10:00   ,6.788     ,72.529 ,2.258      ,                  ,                  ,                ,         ,
22/01/2018 20:20:00   ,6.687     ,73.061 ,2.254      ,                  ,                  ,                ,         ,
22/01/2018 20:30:00   ,6.611     ,72.825 ,2.139      ,                  ,                  ,                ,         ,
22/01/2018 20:40:00   ,6.611     ,72.023 ,1.995      ,                  ,                  ,                ,         ,
22/01/2018 20:50:00   ,6.712     ,71.016 ,1.910      ,                  ,                  ,                ,         ,
22/01/2018 21:00:00   ,6.636     ,71.501 ,1.925      ,                  ,                  ,                ,         ,
22/01/2018 21:10:00   ,6.940     ,69.720 ,1.889      ,                  ,                  ,                ,         ,
22/01/2018 21:20:00   ,7.217     ,67.437 ,1.720      ,                  ,                  ,                ,         ,
22/01/2018 21:30:00   ,7.091     ,66.961 ,1.507      ,                  ,                  ,                ,         ,
22/01/2018 21:40:00   ,7.419     ,60.009 ,0.375      ,                  ,                  ,                ,         ,
22/01/2018 21:50:00   ,7.444     ,58.201 ,-0.005     ,                  ,                  ,                ,         ,
22/01/2018 22:00:00   ,7.217     ,56.577 ,-0.592     ,                  ,                  ,                ,         ,
22/01/2018 22:10:00   ,7.091     ,54.517 ,-1.200     ,                  ,                  ,                ,         ,
22/01/2018 22:20:00   ,7.419     ,51.006 ,-1.774     ,                  ,                  ,                ,         ,
22/01/2018 22:30:00   ,7.594     ,49.612 ,-1.978     ,                  ,                  ,                ,         ,
22/01/2018 22:40:00   ,7.469     ,49.535 ,-2.115     ,                  ,                  ,                ,         ,
22/01/2018 22:50:00   ,7.242     ,50.199 ,-2.149     ,                  ,                  ,                ,         ,
22/01/2018 23:00:00   ,7.268     ,47.687 ,-2.804     ,                  ,                  ,                ,         ,
22/01/2018 23:10:00   ,7.242     ,46.494 ,-3.161     ,                  ,                  ,                ,         ,
22/01/2018 23:20:00   ,7.569     ,44.849 ,-3.338     ,                  ,                  ,                ,         ,
22/01/2018 23:30:00   ,7.519     ,45.427 ,-3.215     ,                  ,                  ,                ,         ,
22/01/2018 23:40:00   ,7.469     ,47.104 ,-2.781     ,                  ,                  ,                ,         ,
22/01/2018 23:50:00   ,6.914     ,52.524 ,-1.855     ,                  ,                  ,                ,         ,
23/01/2018 00:00:00   ,6.331     ,57.174 ,-1.287     ,                  ,                  ,                ,         ,
23/01/2018 00:10:00   ,5.898     ,58.567 ,-1.380     ,                  ,                  ,                ,         ,
23/01/2018 00:20:00   ,5.616     ,59.886 ,-1.356     ,                  ,                  ,                ,         ,
23/01/2018 00:30:00   ,5.642     ,59.601 ,-1.394     ,                  ,                  ,                ,         ,
23/01/2018 00:40:00   ,5.282     ,62.021 ,-1.218     ,                  ,                  ,                ,         ,
23/01/2018 00:50:00   ,5.179     ,62.290 ,-1.260     ,                  ,                  ,                ,         ,
23/01/2018 01:00:00   ,5.282     ,60.784 ,-1.479     ,                  ,                  ,                ,         ,
23/01/2018 01:10:00   ,5.385     ,62.268 ,-1.069     ,                  ,                  ,                ,         ,
23/01/2018 01:20:00   ,5.128     ,62.968 ,-1.169     ,                  ,                  ,                ,         ,
23/01/2018 01:30:00   ,5.024     ,64.375 ,-0.982     ,                  ,                  ,                ,         ,
23/01/2018 01:40:00   ,5.024     ,64.346 ,-0.988     ,                  ,                  ,                ,         ,
23/01/2018 01:50:00   ,5.565     ,63.730 ,-0.597     ,                  ,                  ,                ,         ,
23/01/2018 02:00:00   ,5.924     ,62.906 ,-0.425     ,                  ,                  ,                ,         ,
23/01/2018 02:10:00   ,6.000     ,62.029 ,-0.535     ,                  ,                  ,                ,         ,
23/01/2018 02:20:00   ,6.051     ,61.058 ,-0.692     ,                  ,                  ,                ,         ,
23/01/2018 02:30:00   ,6.077     ,62.186 ,-0.429     ,                  ,                  ,                ,         ,
23/01/2018 02:40:00   ,6.000     ,62.719 ,-0.391     ,                  ,                  ,                ,         ,
23/01/2018 02:50:00   ,5.847     ,64.179 ,-0.237     ,                  ,                  ,                ,         ,
23/01/2018 03:00:00   ,6.077     ,63.219 ,-0.214     ,                  ,                  ,                ,         ,
23/01/2018 03:10:00   ,6.255     ,62.963 ,-0.097     ,                  ,                  ,                ,         ,
23/01/2018 03:20:00   ,6.204     ,62.869 ,-0.165     ,                  ,                  ,                ,         ,
23/01/2018 03:30:00   ,5.514     ,62.520 ,-0.894     ,                  ,                  ,                ,         ,
23/01/2018 03:40:00   ,5.308     ,66.294 ,-0.332     ,                  ,                  ,                ,         ,
23/01/2018 03:50:00   ,4.662     ,69.561 ,-0.334     ,                  ,                  ,                ,         ,
23/01/2018 04:00:00   ,4.115     ,72.898 ,-0.264     ,                  ,                  ,                ,         ,
23/01/2018 04:10:00   ,3.985     ,73.035 ,-0.367     ,                  ,                  ,                ,         ,
23/01/2018 04:20:00   ,4.168     ,68.827 ,-0.945     ,                  ,                  ,                ,         ,
23/01/2018 04:30:00   ,4.089     ,70.751 ,-0.669     ,                  ,                  ,                ,         ,
23/01/2018 04:40:00   ,3.985     ,69.430 ,-1.010     ,                  ,                  ,                ,         ,
23/01/2018 04:50:00   ,3.775     ,72.309 ,-0.697     ,                  ,                  ,                ,         ,
23/01/2018 05:00:00   ,3.696     ,73.603 ,-0.549     ,                  ,                  ,                ,         ,
23/01/2018 05:10:00   ,3.827     ,71.717 ,-0.750     ,                  ,                  ,                ,         ,
23/01/2018 05:20:00   ,4.194     ,68.609 ,-0.960     ,                  ,                  ,                ,         ,
23/01/2018 05:30:00   ,3.775     ,70.496 ,-1.019     ,                  ,                  ,                ,         ,
23/01/2018 05:40:00   ,4.141     ,66.755 ,-1.360     ,                  ,                  ,                ,         ,
23/01/2018 05:50:00   ,4.194     ,68.637 ,-0.955     ,                  ,                  ,                ,         ,
23/01/2018 06:00:00   ,4.141     ,68.933 ,-0.951     ,                  ,                  ,                ,         ,
23/01/2018 06:10:00   ,4.246     ,67.642 ,-1.091     ,                  ,                  ,                ,         ,
23/01/2018 06:20:00   ,5.385     ,63.013 ,-0.915     ,                  ,                  ,                ,         ,
23/01/2018 06:30:00   ,6.484     ,59.040 ,-0.722     ,                  ,                  ,                ,         ,
23/01/2018 06:40:00   ,7.242     ,56.198 ,-0.657     ,                  ,                  ,                ,         ,
23/01/2018 06:50:00   ,7.494     ,55.911 ,-0.489     ,                  ,                  ,                ,         ,
23/01/2018 07:00:00   ,8.095     ,57.334 ,0.409      ,                  ,                  ,                ,         ,
23/01/2018 07:10:00   ,8.295     ,57.866 ,0.720      ,                  ,                  ,                ,         ,
23/01/2018 07:20:00   ,8.245     ,56.855 ,0.438      ,                  ,                  ,                ,         ,
23/01/2018 07:30:00   ,8.070     ,58.242 ,0.595      ,                  ,                  ,                ,         ,
23/01/2018 07:40:00   ,8.020     ,57.793 ,0.445      ,                  ,                  ,                ,         ,
23/01/2018 07:50:00   ,8.220     ,54.268 ,-0.205     ,                  ,                  ,                ,         ,
23/01/2018 08:00:00   ,8.817     ,48.654 ,-1.109     ,                  ,                  ,                ,         ,
23/01/2018 08:10:00   ,9.361     ,45.843 ,-1.407     ,                  ,                  ,                ,         ,
23/01/2018 08:20:00   ,9.780     ,43.013 ,-1.882     ,                  ,                  ,                ,         ,
23/01/2018 08:30:00   ,9.829     ,42.676 ,-1.943     ,                  ,                  ,                ,         ,
23/01/2018 08:40:00   ,10.051    ,42.764 ,-1.714     ,                  ,                  ,                ,         ,
23/01/2018 08:50:00   ,10.100    ,43.300 ,-1.502     ,                  ,                  ,                ,         ,
23/01/2018 09:00:00   ,10.541    ,42.134 ,-1.471     ,                  ,                  ,                ,         ,
23/01/2018 09:10:00   ,10.736    ,42.939 ,-1.037     ,                  ,                  ,                ,         ,
23/01/2018 09:20:00   ,10.296    ,44.816 ,-0.858     ,                  ,                  ,                ,         ,
23/01/2018 09:30:00   ,9.952     ,48.499 ,-0.105     ,                  ,                  ,                ,         ,
23/01/2018 09:40:00   ,9.583     ,48.909 ,-0.332     ,                  ,                  ,                ,         ,
23/01/2018 09:50:00   ,9.805     ,48.877 ,-0.136     ,                  ,                  ,                ,         ,
23/01/2018 10:00:00   ,10.320    ,46.365 ,-0.375     ,                  ,                  ,                ,         ,
23/01/2018 10:10:00   ,10.712    ,45.797 ,-0.184     ,                  ,                  ,                ,         ,
23/01/2018 10:20:00   ,10.883    ,46.653 ,0.225      ,                  ,                  ,                ,         ,
23/01/2018 10:30:00   ,10.980    ,47.098 ,0.443      ,                  ,                  ,                ,         ,
23/01/2018 10:40:00   ,11.102    ,46.805 ,0.470      ,                  ,                  ,                ,         ,
23/01/2018 10:50:00   ,11.175    ,46.999 ,0.594      ,                  ,                  ,                ,         ,
23/01/2018 11:00:00   ,11.273    ,45.495 ,0.239      ,                  ,                  ,                ,         ,
23/01/2018 11:10:00   ,11.419    ,46.195 ,0.581      ,                  ,                  ,                ,         ,
